csMPa	cement	water	age
79.99	540	162	28
61.89	540	162	28
40.27	332.5	228	270
41.05	332.5	228	365
44.3	198.6	192	360
47.03	266	228	90
43.7	380	228	365
36.45	380	228	28
45.85	266	228	28
39.29	475	228	28
38.07	198.6	192	90
28.02	198.6	192	28
43.01	427.5	228	270
42.33	190	228	90
47.81	304	228	28
52.91	380	228	90
39.36	139.6	192	90
56.14	342	228	365
40.56	380	228	90
42.62	475	228	180
41.84	427.5	228	180
28.24	139.6	192	28
8.06	139.6	192	3
44.21	139.6	192	180
52.52	380	228	365
53.3	380	228	270
41.15	380	228	270
52.12	342	228	180
37.43	427.5	228	28
38.6	475	228	7
55.26	304	228	365
52.91	266	228	365
41.72	198.6	192	180
42.13	475	228	270
53.69	190	228	365
38.41	237.5	228	270
30.08	237.5	228	28
37.72	332.5	228	90
42.23	475	228	90
36.25	237.5	228	180
50.46	342	228	90
43.7	427.5	228	365
39	237.5	228	365
53.1	380	228	180
41.54	427.5	228	90
35.08	427.5	228	7
15.05	349	192	3
40.76	380	228	180
26.26	237.5	228	7
32.82	380	228	7
39.78	332.5	228	180
46.93	190	228	180
33.12	237.5	228	90
49.19	304	228	90
14.59	139.6	192	7
14.64	198.6	192	7
41.93	475	228	365
9.13	198.6	192	3
50.95	304	228	180
33.02	332.5	228	28
54.38	304	228	270
51.73	266	228	270
9.87	310	192	3
50.66	190	228	270
48.7	266	228	180
55.06	342	228	270
44.7	139.6	192	360
30.28	332.5	228	7
40.86	190	228	28
71.99	485	146	28
34.4	374	170.1	3
28.8	313.3	175.5	3
33.4	425	153.5	3
36.3	425	151.4	3
29	375	126.6	3
37.8	475	181.1	3
40.2	469	137.8	3
33.4	425	153.5	3
28.1	388.6	157.9	3
41.3	531.3	141.8	3
33.4	425	153.5	3
25.2	318.8	155.7	3
41.1	401.8	147.4	3
35.3	362.6	164.9	3
28.3	323.7	183.8	3
28.6	379.5	153.9	3
35.3	362.6	164.9	3
24.4	286.3	144.7	3
35.3	362.6	164.9	3
39.3	439	186	3
40.6	389.9	145.9	3
