"행정구역","2013년03월_총인구수","2013년03월_세대수","2013년03월_세대당 인구","2013년03월_남자 인구수","2013년03월_여자 인구수","2013년03월_남여 비율"
"서울특별시  (1100000000)","10,192,057","4,182,314","          2.44","5,037,288","5,154,769","          0.98"
"서울특별시 종로구 (1111000000)","162,777","74,581","          2.18","81,033","81,744","          0.99"
"서울특별시 중구 (1114000000)","132,652","61,217","          2.17","66,605","66,047","          1.01"
"서울특별시 용산구 (1117000000)","242,630","110,479","          2.20","118,012","124,618","          0.95"
"서울특별시 성동구 (1120000000)","302,038","127,035","          2.38","150,875","151,163","          1.00"
"서울특별시 광진구 (1121500000)","371,170","158,987","          2.33","183,297","187,873","          0.98"
"서울특별시 동대문구 (1123000000)","362,625","157,854","          2.30","182,386","180,239","          1.01"
"서울특별시 중랑구 (1126000000)","418,569","174,447","          2.40","209,695","208,874","          1.00"
"서울특별시 성북구 (1129000000)","481,651","198,094","          2.43","237,169","244,482","          0.97"
"서울특별시 강북구 (1130500000)","342,574","142,061","          2.41","169,407","173,167","          0.98"
"서울특별시 도봉구 (1132000000)","361,572","137,901","          2.62","178,785","182,787","          0.98"
"서울특별시 노원구 (1135000000)","595,929","222,910","          2.67","291,282","304,647","          0.96"
"서울특별시 은평구 (1138000000)","503,231","201,290","          2.50","247,013","256,218","          0.96"
"서울특별시 서대문구 (1141000000)","316,630","135,916","          2.33","154,679","161,951","          0.96"
"서울특별시 마포구 (1144000000)","384,314","166,797","          2.30","186,266","198,048","          0.94"
"서울특별시 양천구 (1147000000)","495,626","181,080","          2.74","246,487","249,139","          0.99"
"서울특별시 강서구 (1150000000)","567,582","224,346","          2.53","278,772","288,810","          0.97"
"서울특별시 구로구 (1153000000)","427,334","171,789","          2.49","214,730","212,604","          1.01"
"서울특별시 금천구 (1154500000)","242,824","104,333","          2.33","124,421","118,403","          1.05"
"서울특별시 영등포구 (1156000000)","390,890","168,126","          2.32","196,405","194,485","          1.01"
"서울특별시 동작구 (1159000000)","408,843","171,183","          2.39","201,279","207,564","          0.97"
"서울특별시 관악구 (1162000000)","523,073","248,691","          2.10","265,185","257,888","          1.03"
"서울특별시 서초구 (1165000000)","437,689","169,397","          2.58","211,549","226,140","          0.94"
"서울특별시 강남구 (1168000000)","563,170","230,346","          2.44","270,341","292,829","          0.92"
