행정구역,행정구역_코드,총인구수,세대수,세대당_인구,남자_인구수,여자_인구수,남여_비율
서울특별시 ,1100000000,9508451 ,4442586 ,2.14 ,4615823 ,4892628 ,0.94 
서울특별시 종로구,1111000000,144575 ,73763 ,1.96 ,70092 ,74483 ,0.94 
서울특별시 중구,1114000000,122167 ,63644 ,1.92 ,59446 ,62721 ,0.95 
서울특별시 용산구,1117000000,222413 ,111134 ,2.00 ,106881 ,115532 ,0.93 
서울특별시 성동구,1120000000,285137 ,134286 ,2.12 ,138866 ,146271 ,0.95 
서울특별시 광진구,1121500000,340494 ,168975 ,2.02 ,164226 ,176268 ,0.93 
서울특별시 동대문구,1123000000,337881 ,169211 ,2.00 ,166852 ,171029 ,0.98 
서울특별시 중랑구,1126000000,388606 ,187004 ,2.08 ,191682 ,196924 ,0.97 
서울특별시 성북구,1129000000,431892 ,196281 ,2.20 ,208211 ,223681 ,0.93 
서울특별시 강북구,1130500000,298074 ,144658 ,2.06 ,145066 ,153008 ,0.95 
서울특별시 도봉구,1132000000,316631 ,138748 ,2.28 ,154046 ,162585 ,0.95 
서울특별시 노원구,1135000000,510527 ,218249 ,2.34 ,245744 ,264783 ,0.93 
서울특별시 은평구,1138000000,472640 ,215001 ,2.20 ,225941 ,246699 ,0.92 
서울특별시 서대문구,1141000000,305793 ,144717 ,2.11 ,146045 ,159748 ,0.91 
서울특별시 마포구,1144000000,368560 ,180457 ,2.04 ,173282 ,195278 ,0.89 
서울특별시 양천구,1147000000,446478 ,181603 ,2.46 ,218786 ,227692 ,0.96 
서울특별시 강서구,1150000000,573531 ,272216 ,2.11 ,275710 ,297821 ,0.93 
서울특별시 구로구,1153000000,396221 ,181612 ,2.18 ,195164 ,201057 ,0.97 
서울특별시 금천구,1154500000,230856 ,118271 ,1.95 ,116449 ,114407 ,1.02 
서울특별시 영등포구,1156000000,376884 ,187834 ,2.01 ,185824 ,191060 ,0.97 
서울특별시 동작구,1159000000,385490 ,185688 ,2.08 ,186397 ,199093 ,0.94 
서울특별시 관악구,1162000000,486209 ,278497 ,1.75 ,244287 ,241922 ,1.01 
서울특별시 서초구,1165000000,410682 ,169979 ,2.42 ,196211 ,214471 ,0.91 
서울특별시 강남구,1168000000,533286 ,234634 ,2.27 ,255159 ,278127 ,0.92 
서울특별시 송파구,1171000000,661452 ,284218 ,2.33 ,318851 ,342601 ,0.93 
서울특별시 강동구,1174000000,461972 ,201906 ,2.29 ,226605 ,235367 ,0.96 
부산광역시 ,2600000000,3347396 ,1549967 ,2.16 ,1637111 ,1710285 ,0.96 
부산광역시 중구,2611000000,40582 ,24129 ,1.68 ,19756 ,20826 ,0.95 
부산광역시 서구,2614000000,104618 ,52900 ,1.98 ,50597 ,54021 ,0.94 
부산광역시 동구,2617000000,88245 ,46829 ,1.88 ,43132 ,45113 ,0.96 
부산광역시 영도구,2620000000,109991 ,54560 ,2.02 ,54185 ,55806 ,0.97 
부산광역시 부산진구,2623000000,351764 ,173496 ,2.03 ,169496 ,182268 ,0.93 
부산광역시 동래구,2626000000,273802 ,118748 ,2.31 ,132969 ,140833 ,0.94 
부산광역시 남구,2629000000,260624 ,117815 ,2.21 ,127295 ,133329 ,0.95 
부산광역시 북구,2632000000,281749 ,123263 ,2.29 ,139012 ,142737 ,0.97 
부산광역시 해운대구,2635000000,394792 ,172279 ,2.29 ,189702 ,205090 ,0.92 
부산광역시 사하구,2638000000,306098 ,140385 ,2.18 ,152207 ,153891 ,0.99 
부산광역시 금정구,2641000000,226029 ,107785 ,2.10 ,110501 ,115528 ,0.96 
부산광역시 강서구,2644000000,143227 ,61929 ,2.31 ,74161 ,69066 ,1.07 
부산광역시 연제구,2647000000,207178 ,94026 ,2.20 ,99714 ,107464 ,0.93 
부산광역시 수영구,2650000000,174838 ,86261 ,2.03 ,82451 ,92387 ,0.89 
부산광역시 사상구,2653000000,207138 ,98603 ,2.10 ,104446 ,102692 ,1.02 
부산광역시 기장군,2671000000,176721 ,76959 ,2.30 ,87487 ,89234 ,0.98 
대구광역시 ,2700000000,2381095 ,1065477 ,2.23 ,1173039 ,1208056 ,0.97 
대구광역시 중구,2711000000,74710 ,38485 ,1.94 ,35870 ,38840 ,0.92 
대구광역시 동구,2714000000,341730 ,159020 ,2.15 ,167994 ,173736 ,0.97 
