"행정구역","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율"
"서울특별시  (1100000000)","9,426,404","4,463,385","          2.11","4,566,299","4,860,105","          0.94"
"서울특별시 종로구 (1111000000)","141,060","72,679","          1.94","68,170","72,890","          0.94"
"서울특별시 중구 (1114000000)","120,963","63,862","          1.89","58,699","62,264","          0.94"
"서울특별시 용산구 (1117000000)","217,756","109,735","          1.98","104,640","113,116","          0.93"
"서울특별시 성동구 (1120000000)","280,240","133,513","          2.10","136,233","144,007","          0.95"
"서울특별시 광진구 (1121500000)","336,801","169,787","          1.98","162,209","174,592","          0.93"
"서울특별시 동대문구 (1123000000)","337,574","171,140","          1.97","165,933","171,641","          0.97"
"서울특별시 중랑구 (1126000000)","385,003","187,898","          2.05","189,186","195,817","          0.97"
"서울특별시 성북구 (1129000000)","430,100","197,859","          2.17","206,634","223,466","          0.92"
"서울특별시 강북구 (1130500000)","292,762","144,557","          2.03","142,028","150,734","          0.94"
"서울특별시 도봉구 (1132000000)","310,509","138,376","          2.24","150,806","159,703","          0.94"
"서울특별시 노원구 (1135000000)","502,515","218,341","          2.30","241,532","260,983","          0.93"
"서울특별시 은평구 (1138000000)","464,871","213,989","          2.17","221,350","243,521","          0.91"
"서울특별시 서대문구 (1141000000)","308,437","147,146","          2.10","146,732","161,705","          0.91"
"서울특별시 마포구 (1144000000)","365,570","181,034","          2.02","171,215","194,355","          0.88"
"서울특별시 양천구 (1147000000)","439,219","181,072","          2.43","214,703","224,516","          0.96"
"서울특별시 강서구 (1150000000)","568,287","274,283","          2.07","272,693","295,594","          0.92"
"서울특별시 구로구 (1153000000)","395,183","184,268","          2.14","194,039","201,144","          0.96"
"서울특별시 금천구 (1154500000)","229,307","120,051","          1.91","115,624","113,683","          1.02"
"서울특별시 영등포구 (1156000000)","376,614","190,252","          1.98","184,973","191,641","          0.97"
"서울특별시 동작구 (1159000000)","380,201","186,534","          2.04","183,900","196,301","          0.94"
"서울특별시 관악구 (1162000000)","487,815","285,914","          1.71","245,376","242,439","          1.01"
"서울특별시 서초구 (1165000000)","404,831","168,234","          2.41","193,158","211,673","          0.91"
"서울특별시 강남구 (1168000000)","532,798","234,735","          2.27","254,811","277,987","          0.92"
"서울특별시 송파구 (1171000000)","658,006","285,489","          2.30","316,564","341,442","          0.93"
"서울특별시 강동구 (1174000000)","459,982","202,637","          2.27","225,091","234,891","          0.96"
"부산광역시  (2600000000)","3,313,539","1,561,008","          2.12","1,616,930","1,696,609","          0.95"
"부산광역시 중구 (2611000000)","39,589","24,099","          1.64","19,172","20,417","          0.94"
"부산광역시 서구 (2614000000)","104,798","53,670","          1.95","50,503","54,295","          0.93"
"부산광역시 동구 (2617000000)","85,839","46,196","          1.86","41,889","43,950","          0.95"
"부산광역시 영도구 (2620000000)","107,632","54,335","          1.98","52,942","54,690","          0.97"
"부산광역시 부산진구 (2623000000)","357,626","179,744","          1.99","171,814","185,812","          0.92"
"부산광역시 동래구 (2626000000)","273,195","119,963","          2.28","132,146","141,049","          0.94"
"부산광역시 남구 (2629000000)","256,332","118,462","          2.16","125,071","131,261","          0.95"
"부산광역시 북구 (2632000000)","277,756","123,573","          2.25","136,670","141,086","          0.97"
"부산광역시 해운대구 (2635000000)","384,866","170,251","          2.26","184,555","200,311","          0.92"
"부산광역시 사하구 (2638000000)","301,929","141,398","          2.14","149,953","151,976","          0.99"
"부산광역시 금정구 (2641000000)","219,936","106,954","          2.06","107,415","112,521","          0.95"
"부산광역시 강서구 (2644000000)","142,935","62,376","          2.29","74,079","68,856","          1.08"
"부산광역시 연제구 (2647000000)","203,115","93,650","          2.17","97,330","105,785","          0.92"
