Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","3","Albania","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","4","Algeria","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","7","Angola","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","9","Argentina","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","11366","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","1","Armenia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","10","Australia","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","9884","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","11","Austria","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","1143","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","52","Azerbaijan","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","4","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","12","Bahamas","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","16","Bangladesh","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","37","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","14","Barbados","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","9","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","57","Belarus","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","42","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","255","Belgium","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","2403","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","23","Belize","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","53","Benin","5911","Export Quantity","2511","Wheat and products","2019","2019","1000 tonnes","3","Im","FAO data based on imputation methodology"
