순위,영화명,개봉일,예매점유율,예매매출액,누적매출액,예매관객수,누적관객수
1,슈퍼 마리오 브라더스,2023-04-26,38.8%,1716740119 ,263468670 ,169664 ,23166 
2,드림,2023-04-26,22.2%,896607657 ,64886000 ,97148 ,7860 
3,가디언즈 오브 갤럭시: Volume 3,2023-05-03,12.7%,839935267 ,0 ,55581 ,0 
4,존 윅 4,2023-04-12,8.2%,327624464 ,13694919235 ,36007 ,1307071 
5,더 퍼스트 슬램덩크,2023-01-04,4.2%,196731129 ,47374889080 ,18148 ,4543663 
6,스즈메의 문단속,2023-03-08,3.7%,155811857 ,50909329667 ,16167 ,4950969 
7,무명,2023-04-26,2.0%,82710081 ,9192000 ,8942 ,1088 
8,항구의 니쿠코짱!,2023-04-27,1.1%,40981000 ,9100400 ,4845 ,829 
9,리바운드,2023-04-05,1.1%,45363959 ,5938613982 ,4841 ,617423 
10,2001 스페이스 오디세이,,0.9%,37757300 ,58546100 ,3746 ,6804 
11,옥수역귀신,2023-04-19,0.7%,30922800 ,961587600 ,3203 ,93135 
12,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,0.7%,33173843 ,0 ,2885 ,0 
13,킬링 로맨스,2023-04-14,0.6%,20534507 ,1473758381 ,2500 ,153645 
14,블레이드 러너: 파이널 컷,1993-05-08,0.4%,18045400 ,106286845 ,1858 ,11627 
15,라이스보이 슬립스,2023-04-19,0.2%,6649300 ,169154405 ,737 ,19377 
16,피기,2023-04-26,0.2%,5485600 ,4506000 ,659 ,523 
17,토리와 로키타,2023-05-10,0.1%,8164000 ,0 ,649 ,0 
18,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,0.1%,4652700 ,23455591186 ,505 ,2736060 
19,슬픔의 삼각형,2023-05-17,0.1%,4746000 ,4006000 ,486 ,609 
20,자전거 도둑,,0.1%,4219328 ,7777000 ,485 ,2721 
21,가디언즈 오브 갤럭시,2014-07-31,0.1%,4094600 ,11393194684 ,436 ,1344599 
22,클로즈,2023-05-03,0.1%,6093000 ,15185295 ,423 ,1563 
23,카운트,2023-02-22,0.1%,2500000 ,3769840091 ,400 ,396825 
24,거울 속 외딴 성,2023-04-12,0.1%,3620279 ,376985510 ,365 ,38186 
25,리턴 투 서울,2023-05-03,0.1%,2040000 ,5334000 ,348 ,542 
26,렌필드,2023-04-19,0.1%,2441128 ,437478198 ,296 ,45472 
27,장기자랑,2023-04-05,0.1%,3138000 ,62093195 ,290 ,6538 
28,다음 소희,2023-02-08,0.1%,2270000 ,1062208168 ,264 ,111326 
29,파벨만스,2023-03-22,0.1%,1752499 ,779827299 ,220 ,77030 
30,롱 플레이스,,0.0%,1252000 ,0 ,212 ,0 
31,오디션,2023-04-19,0.0%,1767100 ,47296000 ,206 ,4402 
32,아임 히어로 더 파이널,2023-03-01,0.0%,4320000 ,5996303500 ,180 ,248059 
33,너의 이름은.,2017-01-04,0.0%,1278253 ,30881942335 ,167 ,3823912 
34,탄생,2022-11-30,0.0%,996000 ,3133605537 ,166 ,347993 
35,아머드 사우루스: 기계공룡제국의 침략,2023-04-20,0.0%,1386800 ,64752435 ,157 ,6983 
36,투란도트,,0.0%,4500200 ,2998100 ,143 ,95 
37,멍뭉이,2023-03-01,0.0%,1233000 ,1821896386 ,137 ,195002 
38,콜드플레이 뮤직 오브 더 스피어스: 라이브 앳 리버 플레이트,2023-04-19,0.0%,2948000 ,68838000 ,134 ,3129 
