"congress","icpsr","st_code","cd","st_name","party_code","mc_name","dim_1","dim_2","dim_1_se","dim_2_se","dim_1_2_corr,","log_lik","num_votes","num_class_err","geo_mean_prob","year1"
113,20300,41,1,"ALABAMA",200,"BONNER",0.453,0.563,0.0602,0.1642,-0.1113,-46.10772,354,16,0.878,2013
113,21376,41,1,"ALABAMA",200,"BYRNE",0.681,0.615,0.0969,0.2387,-0.5338,-37.08072,457,15,0.922,2013
113,21192,41,2,"ALABAMA",200,"ROBY",0.435,0.717,0.0291,0.2205,-0.1707,-88.85371,1016,31,0.916,2013
113,20301,41,3,"ALABAMA",200,"ROGERS",0.472,0.612,0.0706,0.1292,-0.1152,-143.10289,1002,66,0.867,2013
113,29701,41,4,"ALABAMA",200,"ADERHOLT",0.454,0.568,0.0575,0.1733,-0.2237,-92.16084,939,40,0.907,2013
113,21193,41,5,"ALABAMA",200,"BROOKS",0.827,0.107,0.1636,0.0908,-0.013,-220.57651,1011,80,0.804,2013
113,29301,41,6,"ALABAMA",200,"BACHUS",0.575,0.391,0.1294,0.0921,-0.1656,-131.52049,996,68,0.876,2013
113,21102,41,7,"ALABAMA",100,"SEWELL",-0.321,0.427,0.0775,0.1069,-0.72,-195.29013,1004,89,0.823,2013
113,14066,81,1,"ALASKA",200,"YOUNG",0.511,0.427,0.0986,0.1721,-0.1402,-273.60168,948,100,0.749,2013
113,20902,61,1,"ARIZONA",100,"KIRKPATRIC",-0.186,0.79,0.0771,0.144,-0.5815,-313.54514,937,140,0.716,2013
113,21199,61,2,"ARIZONA",100,"BARBER",-0.088,0.125,0.0754,0.129,-0.394,-290.07535,992,128,0.746,2013
113,20305,61,3,"ARIZONA",100,"GRIJALVA",-0.577,-0.269,0.1112,0.1933,-0.3796,-117.50604,950,39,0.884,2013
113,21103,61,4,"ARIZONA",200,"GOSAR",0.807,0.079,0.1641,0.089,-0.0698,-196.27719,878,78,0.8,2013
113,29500,61,5,"ARIZONA",200,"SALMON",0.854,-0.033,0.1192,0.0819,-0.221,-180.20589,988,83,0.833,2013
113,21105,61,6,"ARIZONA",200,"SCHWEIKERT",0.892,0.077,0.1472,0.0987,-0.1842,-134.40118,989,56,0.873,2013
113,29101,61,7,"ARIZONA",100,"PASTOR",-0.417,0.141,0.1032,0.1431,-0.4368,-156.56114,915,82,0.843,2013
113,20304,61,8,"ARIZONA",200,"FRANKS",0.855,0.31,0.2119,0.111,0.1129,-99.78008,973,32,0.903,2013
113,21300,61,9,"ARIZONA",100,"SINEMA",-0.11,0.251,0.1084,0.2217,-0.4951,-268.47601,990,106,0.762,2013
113,21106,42,1,"ARKANSA",200,"CRAWFORD",0.477,0.48,0.0726,0.1322,-0.1581,-116.75456,948,44,0.884,2013
113,21107,42,2,"ARKANSA",200,"GRIFFIN",0.69,-0.053,0.1854,0.0764,-0.4412,-119.38353,1002,56,0.888,2013
113,21108,42,3,"ARKANSA",200,"WOMACK",0.441,0.603,0.047,0.198,-0.1207,-83.32857,1021,35,0.922,2013
113,21301,42,4,"ARKANSA",200,"COTTON",0.904,-0.217,0.2115,0.1698,0.2903,-131.06944,1011,52,0.878,2013
113,21302,71,1,"CALIFOR",200,"LAMALFA",0.748,0.434,0.1173,0.1524,-0.3564,-96.63954,998,43,0.908,2013
113,21303,71,2,"CALIFOR",100,"HUFFMAN",-0.461,-0.447,0.1493,0.1353,-0.4425,-118.39521,998,54,0.888,2013
