"material","erected","river","length","count","id","x","y"
"wood","crafts","Allegheny","long",0,1,"material","wood"
"steel","crafts","Allegheny","long",0,2,"material","steel"
"iron","crafts","Allegheny","long",0,3,"material","iron"
"wood","emerging","Allegheny","long",0,4,"material","wood"
"steel","emerging","Allegheny","long",0,5,"material","steel"
"iron","emerging","Allegheny","long",0,6,"material","iron"
"wood","mature","Allegheny","long",0,7,"material","wood"
"steel","mature","Allegheny","long",7,8,"material","steel"
"iron","mature","Allegheny","long",0,9,"material","iron"
"wood","modern","Allegheny","long",0,10,"material","wood"
"steel","modern","Allegheny","long",1,11,"material","steel"
"iron","modern","Allegheny","long",0,12,"material","iron"
"wood","crafts","Monongahela","long",0,13,"material","wood"
"steel","crafts","Monongahela","long",0,14,"material","steel"
"iron","crafts","Monongahela","long",0,15,"material","iron"
"wood","emerging","Monongahela","long",0,16,"material","wood"
"steel","emerging","Monongahela","long",0,17,"material","steel"
"iron","emerging","Monongahela","long",0,18,"material","iron"
"wood","mature","Monongahela","long",0,19,"material","wood"
"steel","mature","Monongahela","long",7,20,"material","steel"
"iron","mature","Monongahela","long",0,21,"material","iron"
"wood","modern","Monongahela","long",0,22,"material","wood"
"steel","modern","Monongahela","long",2,23,"material","steel"
"iron","modern","Monongahela","long",0,24,"material","iron"
"wood","crafts","Ohio","long",0,25,"material","wood"
"steel","crafts","Ohio","long",0,26,"material","steel"
"iron","crafts","Ohio","long",0,27,"material","iron"
"wood","emerging","Ohio","long",0,28,"material","wood"
"steel","emerging","Ohio","long",1,29,"material","steel"
"iron","emerging","Ohio","long",0,30,"material","iron"
"wood","mature","Ohio","long",0,31,"material","wood"
"steel","mature","Ohio","long",1,32,"material","steel"
"iron","mature","Ohio","long",0,33,"material","iron"
"wood","modern","Ohio","long",0,34,"material","wood"
"steel","modern","Ohio","long",2,35,"material","steel"
"iron","modern","Ohio","long",0,36,"material","iron"
"wood","crafts","Allegheny","medium",4,37,"material","wood"
"steel","crafts","Allegheny","medium",0,38,"material","steel"
"iron","crafts","Allegheny","medium",3,39,"material","iron"
"wood","emerging","Allegheny","medium",2,40,"material","wood"
"steel","emerging","Allegheny","medium",1,41,"material","steel"
"iron","emerging","Allegheny","medium",0,42,"material","iron"
"wood","mature","Allegheny","medium",1,43,"material","wood"
"steel","mature","Allegheny","medium",7,44,"material","steel"
"iron","mature","Allegheny","medium",0,45,"material","iron"
"wood","modern","Allegheny","medium",0,46,"material","wood"
"steel","modern","Allegheny","medium",2,47,"material","steel"
"iron","modern","Allegheny","medium",0,48,"material","iron"
"wood","crafts","Monongahela","medium",1,49,"material","wood"
"steel","crafts","Monongahela","medium",0,50,"material","steel"
"iron","crafts","Monongahela","medium",2,51,"material","iron"
"wood","emerging","Monongahela","medium",0,52,"material","wood"
"steel","emerging","Monongahela","medium",4,53,"material","steel"
"iron","emerging","Monongahela","medium",1,54,"material","iron"
"wood","mature","Monongahela","medium",0,55,"material","wood"
"steel","mature","Monongahela","medium",10,56,"material","steel"
"iron","mature","Monongahela","medium",0,57,"material","iron"
"wood","modern","Monongahela","medium",0,58,"material","wood"
"steel","modern","Monongahela","medium",3,59,"material","steel"
"iron","modern","Monongahela","medium",0,60,"material","iron"
"wood","crafts","Ohio","medium",0,61,"material","wood"
"steel","crafts","Ohio","medium",0,62,"material","steel"
"iron","crafts","Ohio","medium",0,63,"material","iron"
"wood","emerging","Ohio","medium",0,64,"material","wood"
"steel","emerging","Ohio","medium",0,65,"material","steel"
"iron","emerging","Ohio","medium",0,66,"material","iron"
"wood","mature","Ohio","medium",0,67,"material","wood"
"steel","mature","Ohio","medium",5,68,"material","steel"
"iron","mature","Ohio","medium",0,69,"material","iron"
"wood","modern","Ohio","medium",0,70,"material","wood"
"steel","modern","Ohio","medium",1,71,"material","steel"
"iron","modern","Ohio","medium",0,72,"material","iron"
"wood","crafts","Allegheny","short",1,73,"material","wood"
"steel","crafts","Allegheny","short",0,74,"material","steel"
"iron","crafts","Allegheny","short",0,75,"material","iron"
"wood","emerging","Allegheny","short",0,76,"material","wood"
"steel","emerging","Allegheny","short",0,77,"material","steel"
"iron","emerging","Allegheny","short",0,78,"material","iron"
"wood","mature","Allegheny","short",0,79,"material","wood"
"steel","mature","Allegheny","short",5,80,"material","steel"
"iron","mature","Allegheny","short",0,81,"material","iron"
"wood","modern","Allegheny","short",0,82,"material","wood"
"steel","modern","Allegheny","short",3,83,"material","steel"
"iron","modern","Allegheny","short",0,84,"material","iron"
"wood","crafts","Monongahela","short",0,85,"material","wood"
"steel","crafts","Monongahela","short",0,86,"material","steel"
"iron","crafts","Monongahela","short",0,87,"material","iron"
"wood","emerging","Monongahela","short",0,88,"material","wood"
"steel","emerging","Monongahela","short",0,89,"material","steel"
"iron","emerging","Monongahela","short",0,90,"material","iron"
"wood","mature","Monongahela","short",0,91,"material","wood"
"steel","mature","Monongahela","short",0,92,"material","steel"
"iron","mature","Monongahela","short",0,93,"material","iron"
"wood","modern","Monongahela","short",0,94,"material","wood"
"steel","modern","Monongahela","short",2,95,"material","steel"
"iron","modern","Monongahela","short",0,96,"material","iron"
"wood","crafts","Ohio","short",0,97,"material","wood"
"steel","crafts","Ohio","short",0,98,"material","steel"
"iron","crafts","Ohio","short",0,99,"material","iron"
"wood","emerging","Ohio","short",0,100,"material","wood"
"steel","emerging","Ohio","short",0,101,"material","steel"
"iron","emerging","Ohio","short",0,102,"material","iron"
"wood","mature","Ohio","short",0,103,"material","wood"
"steel","mature","Ohio","short",0,104,"material","steel"
"iron","mature","Ohio","short",0,105,"material","iron"
"wood","modern","Ohio","short",0,106,"material","wood"
"steel","modern","Ohio","short",1,107,"material","steel"
"iron","modern","Ohio","short",0,108,"material","iron"
"wood","crafts","Allegheny","long",0,1,"erected","crafts"
"steel","crafts","Allegheny","long",0,2,"erected","crafts"
"iron","crafts","Allegheny","long",0,3,"erected","crafts"
"wood","emerging","Allegheny","long",0,4,"erected","emerging"
"steel","emerging","Allegheny","long",0,5,"erected","emerging"
"iron","emerging","Allegheny","long",0,6,"erected","emerging"
"wood","mature","Allegheny","long",0,7,"erected","mature"
"steel","mature","Allegheny","long",7,8,"erected","mature"
"iron","mature","Allegheny","long",0,9,"erected","mature"
"wood","modern","Allegheny","long",0,10,"erected","modern"
"steel","modern","Allegheny","long",1,11,"erected","modern"
"iron","modern","Allegheny","long",0,12,"erected","modern"
"wood","crafts","Monongahela","long",0,13,"erected","crafts"
"steel","crafts","Monongahela","long",0,14,"erected","crafts"
"iron","crafts","Monongahela","long",0,15,"erected","crafts"
"wood","emerging","Monongahela","long",0,16,"erected","emerging"
"steel","emerging","Monongahela","long",0,17,"erected","emerging"
"iron","emerging","Monongahela","long",0,18,"erected","emerging"
"wood","mature","Monongahela","long",0,19,"erected","mature"
"steel","mature","Monongahela","long",7,20,"erected","mature"
"iron","mature","Monongahela","long",0,21,"erected","mature"
"wood","modern","Monongahela","long",0,22,"erected","modern"
"steel","modern","Monongahela","long",2,23,"erected","modern"
"iron","modern","Monongahela","long",0,24,"erected","modern"
"wood","crafts","Ohio","long",0,25,"erected","crafts"
"steel","crafts","Ohio","long",0,26,"erected","crafts"
"iron","crafts","Ohio","long",0,27,"erected","crafts"
"wood","emerging","Ohio","long",0,28,"erected","emerging"
"steel","emerging","Ohio","long",1,29,"erected","emerging"
"iron","emerging","Ohio","long",0,30,"erected","emerging"
"wood","mature","Ohio","long",0,31,"erected","mature"
"steel","mature","Ohio","long",1,32,"erected","mature"
"iron","mature","Ohio","long",0,33,"erected","mature"
"wood","modern","Ohio","long",0,34,"erected","modern"
"steel","modern","Ohio","long",2,35,"erected","modern"
"iron","modern","Ohio","long",0,36,"erected","modern"
"wood","crafts","Allegheny","medium",4,37,"erected","crafts"
"steel","crafts","Allegheny","medium",0,38,"erected","crafts"
"iron","crafts","Allegheny","medium",3,39,"erected","crafts"
"wood","emerging","Allegheny","medium",2,40,"erected","emerging"
"steel","emerging","Allegheny","medium",1,41,"erected","emerging"
"iron","emerging","Allegheny","medium",0,42,"erected","emerging"
"wood","mature","Allegheny","medium",1,43,"erected","mature"
"steel","mature","Allegheny","medium",7,44,"erected","mature"
"iron","mature","Allegheny","medium",0,45,"erected","mature"
"wood","modern","Allegheny","medium",0,46,"erected","modern"
"steel","modern","Allegheny","medium",2,47,"erected","modern"
"iron","modern","Allegheny","medium",0,48,"erected","modern"
"wood","crafts","Monongahela","medium",1,49,"erected","crafts"
"steel","crafts","Monongahela","medium",0,50,"erected","crafts"
"iron","crafts","Monongahela","medium",2,51,"erected","crafts"
"wood","emerging","Monongahela","medium",0,52,"erected","emerging"
"steel","emerging","Monongahela","medium",4,53,"erected","emerging"
"iron","emerging","Monongahela","medium",1,54,"erected","emerging"
"wood","mature","Monongahela","medium",0,55,"erected","mature"
"steel","mature","Monongahela","medium",10,56,"erected","mature"
"iron","mature","Monongahela","medium",0,57,"erected","mature"
"wood","modern","Monongahela","medium",0,58,"erected","modern"
"steel","modern","Monongahela","medium",3,59,"erected","modern"
"iron","modern","Monongahela","medium",0,60,"erected","modern"
"wood","crafts","Ohio","medium",0,61,"erected","crafts"
"steel","crafts","Ohio","medium",0,62,"erected","crafts"
"iron","crafts","Ohio","medium",0,63,"erected","crafts"
