Date,Open,High,Low,Close*,Adj Close**,Volume
2022-06-03,117.55,120.46,115.23,120.26,120.26,"225,138"
2022-05-30,114.96,120.46,111.2,118.87,118.87,"1,386,526"
2022-05-23,110.56,115.3,108.61,115.07,115.07,"1,083,820"
2022-05-16,110.98,115.56,105.13,113.23,113.23,"943,867"
2022-05-09,110.43,110.64,98.2,110.49,110.49,"1,705,170"
2022-05-02,104,111.37,100.28,109.77,109.77,"1,355,247"
2022-04-25,101.38,107.99,95.28,104.69,104.69,"1,565,234"
2022-04-18,107.03,109.81,100.7,102.07,102.07,"965,746"
2022-04-11,98.4,107.64,92.93,106.95,106.95,"1,202,364"
2022-04-04,98.95,105.59,93.81,98.26,98.26,"1,611,850"
2022-03-28,112.92,112.93,97.78,99.27,99.27,"1,819,617"
2022-03-21,105.13,116.64,104.08,113.9,113.9,"1,312,570"
2022-03-14,109.42,109.72,93.53,104.7,104.7,"1,324,831"
2022-03-07,121.33,130.5,103.63,109.33,109.33,"2,560,019"
2022-02-28,94.99,116.57,94.43,115.68,115.68,"2,927,369"
2022-02-21,91.75,100.54,90.06,91.59,91.59,"2,776,034"
2022-02-14,93.91,95.82,89.03,91.07,91.07,"1,674,099"
2022-02-07,91.82,94.66,88.41,93.1,93.1,"2,457,272"
2022-01-31,87.45,93.17,86.34,92.31,92.31,"2,069,481"
2022-01-24,84.91,88.84,81.9,86.82,86.82,"2,342,532"
2022-01-17,84.32,87.91,82.78,85.14,85.14,"1,682,543"
2022-01-10,78.88,84.45,77.83,83.82,83.82,"2,021,601"
2022-01-03,75.69,80.47,74.27,78.9,78.9,"1,979,473"
2021-12-27,73.38,77.44,72.57,75.21,75.21,"1,270,056"
2021-12-20,70.07,73.95,66.04,73.79,73.79,"1,427,928"
2021-12-13,72.04,73,69.39,70.86,70.86,"1,281,061"
2021-12-06,67.02,73.34,66.72,71.67,71.67,"2,153,522"
2021-11-29,69.23,72.93,62.43,66.26,66.26,"3,118,279"
2021-11-22,75.75,79.23,67.4,68.15,68.15,"2,475,081"
2021-11-15,80.66,81.81,75.37,76.1,76.1,"1,551,055"
2021-11-08,81.13,84.97,79.78,80.79,80.79,"2,319,740"
2021-11-01,83.36,84.88,78.25,81.27,81.27,"2,620,667"
2021-10-25,83.98,85.41,80.58,83.57,83.57,"2,565,287"
2021-10-18,82.6,84.25,80.79,83.76,83.76,"1,780,256"
2021-10-11,79.59,82.66,79.42,82.28,82.28,"2,416,923"
2021-10-04,75.9,80.11,74.96,79.35,79.35,"2,573,696"
2021-09-27,74.19,76.67,73.14,75.88,75.88,"2,290,350"
2021-09-20,71.92,74.27,69.67,73.98,73.98,"1,604,088"
2021-09-13,69.74,73.14,69.51,71.97,71.97,"1,642,180"
2021-09-06,69.11,69.96,67.56,69.72,69.72,"1,838,559"
2021-08-30,69.3,70.61,67.12,69.29,69.29,"1,802,547"
2021-08-23,61.96,69.05,61.74,68.74,68.74,"1,757,262"
2021-08-16,68.13,68.14,62.11,62.32,62.32,"1,144,590"
2021-08-09,67.88,69.62,65.15,68.44,68.44,"2,188,297"
2021-08-02,73.91,73.95,67.61,68.28,68.28,"2,494,529"
2021-07-26,72.18,74.23,70.56,73.95,73.95,"1,645,939"
2021-07-19,71.49,72.21,65.21,72.07,72.07,"1,857,183"
2021-07-12,74.74,75.52,70.41,71.81,71.81,"1,872,974"
2021-07-05,75.35,76.98,70.76,74.56,74.56,"2,273,859"
2021-06-28,73.99,76.22,71.97,75.16,75.16,"2,052,984"
2021-06-21,71.52,74.25,71.15,74.05,74.05,"1,750,978"
2021-06-14,70.65,72.99,69.77,71.64,71.64,"1,595,813"
2021-06-07,69.52,71.24,68.47,70.91,70.91,"2,273,782"
