행정구역,총인구수_2013,세대수_2013,세대당_인구_2013,남자_인구수_2013,여자_인구수_2013,남여_비율_2013,행정구역_코드,총인구수_2023,세대수_2023,세대당_인구_2023,남자_인구수_2023,여자_인구수_2023,남여_비율_2023,인구성장률
서울특별시,10192057,4182314,2.44,5037288,5154769,0.98,1100000000,9426404,4463385,2.11,4566299,4860105,0.94,-0.07512251942861
서울특별시 종로구,162777,74581,2.18,81033,81744,0.99,1111000000,141060,72679,1.94,68170,72890,0.94,-0.13341565454579
서울특별시 중구,132652,61217,2.17,66605,66047,1.01,1114000000,120963,63862,1.89,58699,62264,0.94,-0.0881177818653318
서울특별시 용산구,242630,110479,2.2,118012,124618,0.95,1117000000,217756,109735,1.98,104640,113116,0.93,-0.102518237645798
서울특별시 성동구,302038,127035,2.38,150875,151163,1,1120000000,280240,133513,2.1,136233,144007,0.95,-0.0721697269879949
서울특별시 광진구,371170,158987,2.33,183297,187873,0.98,1121500000,336801,169787,1.98,162209,174592,0.93,-0.0925963844060673
서울특별시 동대문구,362625,157854,2.3,182386,180239,1.01,1123000000,337574,171140,1.97,165933,171641,0.97,-0.0690823853843502
서울특별시 중랑구,418569,174447,2.4,209695,208874,1,1126000000,385003,187898,2.05,189186,195817,0.97,-0.0801922741531265
서울특별시 성북구,481651,198094,2.43,237169,244482,0.97,1129000000,430100,197859,2.17,206634,223466,0.92,-0.107029778823256
서울특별시 강북구,342574,142061,2.41,169407,173167,0.98,1130500000,292762,144557,2.03,142028,150734,0.94,-0.145405080362199
서울특별시 도봉구,361572,137901,2.62,178785,182787,0.98,1132000000,310509,138376,2.24,150806,159703,0.94,-0.141224984235505
서울특별시 노원구,595929,222910,2.67,291282,304647,0.96,1135000000,502515,218341,2.3,241532,260983,0.93,-0.156753572992756
서울특별시 은평구,503231,201290,2.5,247013,256218,0.96,1138000000,464871,213989,2.17,221350,243521,0.91,-0.076227418422156
서울특별시 서대문구,316630,135916,2.33,154679,161951,0.96,1141000000,308437,147146,2.1,146732,161705,0.91,-0.0258756277042605
서울특별시 마포구,384314,166797,2.3,186266,198048,0.94,1144000000,365570,181034,2.02,171215,194355,0.88,-0.04877261822364
서울특별시 양천구,495626,181080,2.74,246487,249139,0.99,1147000000,439219,181072,2.43,214703,224516,0.96,-0.113809606437112
서울특별시 강서구,567582,224346,2.53,278772,288810,0.97,1150000000,568287,274283,2.07,272693,295594,0.92,0.00124211127202765
서울특별시 구로구,427334,171789,2.49,214730,212604,1.01,1153000000,395183,184268,2.14,194039,201144,0.96,-0.0752362320807612
서울특별시 금천구,242824,104333,2.33,124421,118403,1.05,1154500000,229307,120051,1.91,115624,113683,1.02,-0.0556658320429612
서울특별시 영등포구,390890,168126,2.32,196405,194485,1.01,1156000000,376614,190252,1.98,184973,191641,0.97,-0.0365217836219908
서울특별시 동작구,408843,171183,2.39,201279,207564,0.97,1159000000,380201,186534,2.04,183900,196301,0.94,-0.0700562318542815
서울특별시 관악구,523073,248691,2.1,265185,257888,1.03,1162000000,487815,285914,1.71,245376,242439,1.01,-0.0674055055412916
서울특별시 서초구,437689,169397,2.58,211549,226140,0.94,1165000000,404831,168234,2.41,193158,211673,0.91,-0.0750715690821565
서울특별시 강남구,563170,230346,2.44,270341,292829,0.92,1168000000,532798,234735,2.27,254811,277987,0.92,-0.0539304295328231
서울특별시 송파구,669688,256338,2.61,327974,341714,0.96,1171000000,658006,285489,2.3,316564,341442,0.93,-0.0174439440455854
서울특별시 강동구,486976,187116,2.6,243641,243335,1,1174000000,459982,202637,2.27,225091,234891,0.96,-0.0554318898672625
부산광역시,3538285,1394327,2.54,1753758,1784527,0.98,2600000000,3313539,1561008,2.12,1616930,1696609,0.95,-0.0635183429260221
부산광역시 중구,48016,23313,2.06,23607,24409,0.97,2611000000,39589,24099,1.64,19172,20417,0.94,-0.175503998667111
부산광역시 서구,120155,53141,2.26,59517,60638,0.98,2614000000,104798,53670,1.95,50503,54295,0.93,-0.127809912196746
부산광역시 동구,98016,43805,2.24,48791,49225,0.99,2617000000,85839,46196,1.86,41889,43950,0.95,-0.124234818805093
부산광역시 영도구,138960,57862,2.4,69253,69707,0.99,2620000000,107632,54335,1.98,52942,54690,0.97,-0.225446171560161
부산광역시 부산진구,392516,161491,2.43,193453,199063,0.97,2623000000,357626,179744,1.99,171814,185812,0.92,-0.0888880962814255
부산광역시 동래구,277530,105042,2.64,136989,140541,0.97,2626000000,273195,119963,2.28,132146,141049,0.94,-0.0156199329802184
부산광역시 남구,290352,113726,2.55,143685,146667,0.98,2629000000,256332,118462,2.16,125071,131261,0.95,-0.117168126963134
부산광역시 북구,313596,115651,2.71,156449,157147,1,2632000000,277756,123573,2.25,136670,141086,0.97,-0.114287172030255
부산광역시 해운대구,428408,160637,2.67,209055,219353,0.95,2635000000,384866,170251,2.26,184555,200311,0.92,-0.10163675748352
부산광역시 사하구,352105,134568,2.62,176330,175775,1,2638000000,301929,141398,2.14,149953,151976,0.99,-0.142502946564235
