"프레임.인덱스","차량.ID","위도","경도","East..TM.좌표.","North..TM.좌표.","차선","차선변경여부"
2777,"127",36.46245417,127.276395,224774.5011,429395.6096,1,0
2778,"127",36.46244216,127.2764074,224775.6357,429394.2644,1,0
2779,"127",36.46242992,127.2764201,224776.7654,429392.9246,1,0
2780,"127",36.46241786,127.2764326,224777.9054,429391.5731,1,0
2781,"127",36.46240553,127.2764455,224779.0419,429390.2263,1,0
2782,"127",36.46239342,127.276458,224780.1882,429388.868,1,0
2783,"127",36.46238105,127.2764709,224781.3293,429387.5164,1,0
2784,"127",36.4623689,127.2764835,224782.4773,429386.1539,1,0
2785,"127",36.46235649,127.2764963,224783.5879,429384.8343,1,0
2786,"127",36.46234529,127.2765079,224784.7367,429383.4661,1,0
2787,"127",36.46233183,127.2765218,224785.849,429382.1407,1,0
2788,"127",36.46232058,127.2765334,224787.0321,429380.7309,1,0
2789,"127",36.46230709,127.2765474,224788.147,429379.403,1,0
2790,"127",36.46229584,127.276559,224789.2941,429378.0376,1,0
2791,"127",36.46228357,127.2765717,224790.4117,429376.7072,1,0
2792,"127",36.46227103,127.2765847,224791.5596,429375.3372,1,0
2793,"127",36.46225872,127.2765973,224792.7146,429373.957,1,0
2794,"127",36.46224617,127.2766102,224793.8634,429372.5818,1,0
2795,"127",36.46223377,127.276623,224795.0247,429371.197,1,0
2796,"127",36.46222119,127.276636,224796.1837,429369.8192,1,0
2797,"127",36.46220883,127.2766489,224797.3517,429368.4348,1,0
2798,"127",36.46219625,127.2766619,224798.4813,429367.0948,1,0
2799,"127",36.46218487,127.2766737,224799.6119,429365.751,1,0
2800,"127",36.46217242,127.2766866,224800.7458,429364.4028,1,0
2801,"127",36.46215971,127.2766998,224801.954,429362.9665,1,0
2802,"127",36.46214595,127.276714,224803.1643,429361.5293,1,0
2803,"127",36.46213347,127.276727,224804.3362,429360.1382,1,0
2804,"127",36.46212201,127.2767388,224805.4773,429358.7843,1,0
2805,"127",36.46210926,127.2767521,224806.6216,429357.4264,1,0
2806,"127",36.46209667,127.2767651,224807.8082,429356.0177,1,0
2807,"127",36.46208384,127.2767784,224809.0317,429354.5669,1,0
2808,"127",36.46206994,127.2767929,224810.2245,429353.1536,1,0
2809,"127",36.46205837,127.2768049,224811.4117,429351.7496,1,0
2810,"127",36.46204579,127.276818,224812.5711,429350.3883,1,0
2811,"127",36.46203305,127.2768316,224813.7723,429348.9919,1,0
2812,"127",36.46202052,127.276845,224814.9903,429347.588,1,0
2813,"127",36.46200774,127.2768587,224816.1721,429346.231,1,0
2814,"127",36.46199627,127.276871,224817.3549,429344.8751,1,0
2815,"127",36.46198378,127.2768844,224818.5426,429343.5225,1,0
2816,"127",36.46197108,127.2768983,224819.7379,429342.172,1,0
2817,"127",36.46195967,127.2769109,224820.9399,429340.8241,1,0
2818,"127",36.46194724,127.2769245,224822.1462,429339.479,1,0
2819,"127",36.46193463,127.2769385,224823.355,429338.136,1,0
2820,"127",36.46192326,127.2769512,224824.5352,429336.8316,1,0
2821,"127",36.46191189,127.2769639,224825.7125,429335.5355,1,0
2822,"127",36.4618995,127.2769778,224826.8935,429334.2392,1,0
2823,"127",36.46188813,127.2769906,224828.1186,429332.8987,1,0
2824,"127",36.46187555,127.2770048,224829.3117,429331.5959,1,0
2825,"127",36.46186418,127.2770176,224830.506,429330.2937,4,0
2826,"127",36.46185283,127.2770304,224831.6943,429328.9974,4,0
2827,"127",36.46184041,127.2770444,224832.8831,429327.6988,4,0
2828,"127",36.46182898,127.2770573,224834.0712,429326.3977,4,0
2829,"127",36.46181756,127.2770701,224835.2229,429325.1337,4,0
2830,"127",36.46180615,127.2770829,224836.3745,429323.8708,4,0
2831,"127",36.46179475,127.2770957,224837.5284,429322.6078,4,0
2832,"127",36.46178333,127.2771086,224838.6841,429321.3439,3,1
2833,"127",36.46177189,127.2771214,224839.8376,429320.0788,3,0
2834,"127",36.46176046,127.2771342,224840.9873,429318.8133,3,0
2835,"127",36.46174903,127.2771469,224842.1369,429317.5465,3,0
2836,"127",36.46173756,127.2771598,224843.288,429316.2785,3,0
2837,"127",36.46172609,127.2771726,224844.438,429315.0122,3,0
2838,"127",36.4617147,127.2771853,224845.5824,429313.7487,3,0
2839,"127",36.46170331,127.2771979,224846.7224,429312.4861,3,0
2840,"127",36.46169187,127.2772106,224847.904,429311.1748,3,0
2841,"127",36.46167916,127.2772247,224849.0844,429309.8616,3,0
2842,"127",36.46166772,127.2772373,224850.2612,429308.5497,3,0
2843,"127",36.46165631,127.2772499,224851.3895,429307.2876,3,0
2844,"127",36.46164495,127.2772624,224852.5132,429306.0284,3,0
2845,"127",36.46163359,127.2772748,224853.6672,429304.7334,3,0
2846,"127",36.46162121,127.2772884,224854.8201,429303.4388,3,0
2847,"127",36.46160986,127.2773008,224855.9737,429302.1437,3,0
2848,"127",36.46159849,127.2773133,224857.0954,429300.885,3,0
2849,"127",36.4615871,127.2773258,224858.2158,429299.6257,3,0
2850,"127",36.46157573,127.2773382,224859.3317,429298.367,3,0
2851,"127",36.46156438,127.2773505,224860.442,429297.1088,3,0
2852,"127",36.461553,127.2773628,224861.5502,429295.8485,3,0
2853,"127",36.46154157,127.2773752,224862.6587,429294.5846,3,0
2854,"127",36.46153012,127.2773875,224863.7675,429293.318,3,0
2855,"127",36.46151867,127.2773998,224864.875,429292.051,3,0
2856,"127",36.46150723,127.2774121,224866.0195,429290.737,3,0
2857,"127",36.46149451,127.2774257,224867.1601,429289.4238,3,0
2858,"127",36.46148308,127.2774379,224868.2997,429288.1109,3,0
2859,"127",36.46147165,127.2774501,224869.3985,429286.8446,3,0
2860,"127",36.46146019,127.2774623,224870.497,429285.576,3,0
2861,"127",36.46144869,127.2774745,224871.594,429284.3044,3,0
2862,"127",36.46143719,127.2774867,224872.6899,429283.0306,3,0
2863,"127",36.46142567,127.2774989,224873.8171,429281.7168,3,0
2864,"127",36.46141309,127.2775121,224874.9437,429280.4018,3,0
2865,"127",36.46140155,127.2775243,224876.0706,429279.0837,3,0
2866,"127",36.46138995,127.2775365,224877.1666,429277.8014,3,0
2867,"127",36.46137834,127.2775487,224878.2619,429276.5158,3,0
2868,"127",36.46136671,127.2775608,224879.3946,429275.1825,3,0
2869,"127",36.46135381,127.2775743,224880.5232,429273.8478,3,0
2870,"127",36.46134216,127.2775863,224881.6851,429272.4719,3,0
2871,"127",36.46132942,127.2775996,224882.8091,429271.1399,3,0
2872,"127",36.46131772,127.2776117,224883.9349,429269.806,3,0
2873,"127",36.46130601,127.2776239,224885.067,429268.4625,3,0
2874,"127",36.46129301,127.2776373,224886.1987,429267.1179,3,0
2875,"127",36.46128128,127.2776495,224887.33,429265.7719,3,0
2876,"127",36.46126954,127.2776616,224888.4537,429264.4339,3,0
2877,"127",36.46125675,127.2776748,224889.5769,429263.0956,3,0
2878,"127",36.46124501,127.2776869,224890.6993,429261.7586,3,0
2879,"127",36.4612333,127.2776991,224891.8274,429260.4135,3,0
2880,"127",36.4612203,127.2777124,224892.9541,429259.0716,3,0
2881,"127",36.46120865,127.2777245,224894.0817,429257.7317,3,0
2882,"127",36.46119699,127.2777367,224895.1693,429256.4405,3,0
2883,"127",36.46118531,127.2777487,224896.2881,429255.1111,3,0
2884,"127",36.46117262,127.2777618,224897.3705,429253.8222,3,0
2885,"127",36.46116206,127.2777728,224898.4826,429252.4994,3,0
2886,"127",36.46114946,127.2777858,224899.5597,429251.2174,3,0
2887,"127",36.46113788,127.2777978,224900.6687,429249.8988,3,0
2888,"127",36.46112633,127.2778097,224901.7444,429248.6195,3,0
2889,"127",36.46111479,127.2778217,224902.8177,429247.3419,3,0
2890,"127",36.46110325,127.2778336,224903.8888,429246.0666,3,0
2891,"127",36.46109177,127.2778455,224904.9596,429244.7935,3,0
2892,"127",36.46108029,127.2778574,224906.0306,429243.5243,3,0
2893,"127",36.46106886,127.2778693,224907.1002,429242.2587,3,0
2894,"127",36.46105747,127.2778811,224908.167,429240.9962,3,0
2895,"127",36.46104608,127.277893,224909.2327,429239.7346,3,0
2896,"127",36.46103467,127.2779048,224910.2977,429238.4722,3,0
2897,"127",36.46102326,127.2779167,224911.3603,429237.2111,3,0
2898,"127",36.4610119,127.2779284,224912.4204,429235.954,3,0
2899,"127",36.4610006,127.2779402,224913.4742,429234.7055,3,0
2900,"127",36.46098943,127.2779518,224914.5226,429233.4634,3,0
2901,"127",36.46097823,127.2779634,224915.5716,429232.2204,3,0
2902,"127",36.46096692,127.2779752,224916.6623,429230.9253,3,0
2903,"127",36.46095433,127.2779882,224917.7551,429229.6296,3,0
2904,"127",36.46094312,127.2779998,224918.8035,429228.3846,3,0
2905,"127",36.46093317,127.2780101,224919.8428,429227.1473,3,0
2906,"127",36.4609208,127.2780229,224920.8408,429225.9577,3,0
2907,"127",36.46091088,127.2780331,224921.8779,429224.7224,3,0
2908,"127",36.4608997,127.2780447,224922.8803,429223.5332,3,0
2909,"127",36.46088857,127.2780563,224923.9193,429222.3016,3,0
2910,"127",36.46087751,127.2780678,224924.952,429221.0752,3,0
2911,"127",36.46086646,127.2780792,224925.9493,429219.8892,3,0
2912,"127",36.46085643,127.2780896,224926.9448,429218.7042,3,0
2913,"127",36.46084539,127.278101,224927.9431,429217.5203,3,0
2914,"127",36.46083438,127.2781125,224928.9732,429216.2993,3,0
2915,"127",36.46082334,127.2781239,224930.002,429215.0791,3,0
2916,"127",36.46081232,127.2781353,224931.0273,429213.8593,3,0
2917,"127",36.46080132,127.2781467,224932.05,429212.6407,3,0
2918,"127",36.46079031,127.278158,224933.0699,429211.4256,3,0
2919,"127",36.4607794,127.2781693,224934.09,429210.2113,3,0
2920,"127",36.46076841,127.2781807,224935.1097,429208.996,3,0
2921,"127",36.46075738,127.278192,224936.1613,429207.7391,3,0
2922,"127",36.46074534,127.2782044,224937.2106,429206.4817,3,0
2923,"127",36.46073434,127.2782157,224938.2572,429205.2289,3,0
2924,"127",36.46072343,127.2782269,224939.3107,429203.9707,3,0
2925,"127",36.46071124,127.2782395,224940.3677,429202.7092,3,0
2926,"127",36.46070015,127.278251,224941.4299,429201.4392,3,0
2927,"127",36.46068901,127.2782624,224942.4864,429200.1713,3,0
2928,"127",36.46067688,127.2782748,224943.5418,429198.9029,3,0
2929,"127",36.46066578,127.2782862,224944.5963,429197.6365,3,0
2930,"127",36.46065469,127.2782975,224945.6591,429196.3637,3,0
2931,"127",36.46064239,127.2783102,224946.7251,429195.0912,3,0
2932,"127",36.46063129,127.2783217,224947.7947,429193.8173,3,0
2933,"127",36.46062017,127.2783332,224948.8303,429192.5862,3,0
2934,"127",36.46060902,127.2783448,224949.867,429191.3533,3,0
