행정구역(시군구)별,2022.11,2022.12,2023.01,2023.02
종로구,72666,72524,72479,72773
중구,63167,63139,63123,63492
용산구,109905,109805,109734,109778
성동구,133435,133305,133293,133517
광진구,169376,169291,169416,169648
동대문구,170154,169873,169716,170766
중랑구,187418,187413,187489,187776
성북구,197354,197082,196936,197673
강북구,144415,144313,144275,144506
도봉구,138439,138356,138331,138384
노원구,217860,217540,217160,217926
은평구,214243,213876,213924,214070
서대문구,145542,145797,146183,146908
마포구,179892,180084,180302,180807
양천구,181335,181187,181189,181177
강서구,273650,273697,273804,274186
구로구,183210,183655,183910,184142
금천구,119561,119583,119672,119830
영등포구,188756,188832,189396,189857
동작구,186197,185773,185659,186053
관악구,283538,283623,284025,285206
서초구,168025,167749,167876,168173
강남구,233287,232777,232732,233325
송파구,284952,284853,284928,285420
강동구,202283,202169,202309,202589
중구,24012,23960,23965,24123
서구,53648,53626,53592,53689
동구,46402,46349,46322,46224
영도구,54362,54342,54304,54322
부산진구,177576,178049,178397,179307
동래구,119508,119503,119557,119887
남구,117707,117601,117668,118209
북구,123693,123569,123569,123568
해운대구,170637,170435,170261,170331
사하구,140839,140778,140814,141291
금정구,107061,106950,106606,106851
강서구,62497,62426,62358,62350
연제구,93581,93557,93490,93538
수영구,87360,87361,87487,87774
사상구,98324,98625,98779,99040
기장군,78629,78736,78917,79089
중구,40554,40749,41163,41518
동구,159565,159422,159368,159365
서구,81246,81116,81019,80960
남구,76455,76401,76438,76575
북구,192785,192697,192331,192326
수성구,171546,171480,171479,171571
달서구,235564,235883,236185,236709
달성군,113124,113125,113199,113231
중구,75682,75960,76141,76378
중구영종출장소,0,0,0,0
중구용유출장소,0,0,0,0
동구,27524,27618,27757,27815
미추홀구,195153,194841,194564,194606
연수구,156282,156047,155845,156287
남동구,226903,226763,226589,226328
부평구,217825,217924,218449,219116
계양구,127352,127201,127056,126891
서구,246944,248741,250209,251983
서구검단출장소,0,0,0,0
강화군,35126,35114,35105,35104
옹진군,12440,12423,12425,12439
동구,54050,54072,54094,54342
서구,133548,133554,133676,133857
남구,96005,95868,95741,95795
북구,198058,198085,198068,198320
광산구,170774,170776,170795,170895
동구,108677,108640,108512,108829
중구,107819,107692,107578,107657
서구,216592,216539,216667,217163
유성구,159670,160305,160881,161894
대덕구,80405,80253,80121,80217
중구,93155,93055,92948,92950
남구,139527,139525,139583,139757
동구,66318,66282,66293,66328
북구,87058,87153,87274,87526
울주군,100043,100128,100183,100262
세종시,159150,159386,159556,160012
수원시,528097,528482,529082,530462
장안구,119012,118811,118619,118785
권선구,160763,161085,161375,161695
팔달구,95800,95950,96148,96415
영통구,152522,152636,152940,153567
성남시,407103,408195,408915,409466
수정구,114016,113458,113175,113122
중원구,98432,100139,101123,101730
분당구,194655,194598,194617,194614
의정부시,208306,208352,208216,208325
안양시,227564,227475,227464,227546
만안구,102507,102550,102575,102616
동안구,125057,124925,124889,124930
부천시,344305,344135,344004,344060
광명시,118664,118493,118233,117838
평택시,270780,271362,272182,273134
송탄출장소,0,0,0,0
안중출장소,0,0,0,0
동두천시,44005,43973,43897,43841
안산시,291640,291091,290723,290729
상록구,156451,156033,155735,155649
단원구,135189,135058,134988,135080
고양시,460806,461459,462030,462873
덕양구,215769,216683,217534,218420
일산동구,128710,128567,128399,128376
일산서구,116327,116209,116097,116077
과천시,28691,28726,28748,28805
구리시,80457,80424,80415,80444
남양주시,304188,304288,304357,304430
풍양출장소,0,0,0,0
오산시,103485,103552,103576,103606
시흥시,223296,223534,223797,224558
군포시,113954,113878,113881,113869
의왕시,65014,64839,64748,64628
하남시,140250,140415,140504,140594
용인시,432278,432151,432221,432476
처인구,115754,115654,115637,115678
기흥구,174334,174294,174293,174289
수지구,142190,142203,142291,142509
파주시,218179,218264,218364,218787
이천시,102963,102618,102517,102612
안성시,90027,89951,89896,90055
김포시,202095,202189,202441,202642
화성시,386414,387820,389484,391705
화성시동부출장소,0,0,0,0
화성시동탄출장소,0,0,0,0
광주시,170655,170497,170414,170359
양주시,105431,106361,107235,108595
포천시,73464,73438,73370,73316
여주시,53870,53946,54056,54166
연천군,21895,21858,21844,21806
가평군,32106,32140,32143,32152
양평군,59718,59788,59873,60015
춘천시,133457,133668,133834,134241
원주시,168652,168755,168882,169217
강릉시,103332,103352,103340,103427
동해시,43228,43251,43252,43265
태백시,20332,20324,20279,20223
속초시,41189,41193,41216,41202
